Name,Sum_Deaths
Southern Tornado Outbreak and East Coast Storm (January 2024),3
Severe Storms/Hail (April 2003),3
Hurricane Dolly (July 2008),3
Midwest/Ohio Valley Hail and Tornadoes (April 2001),3
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",3
Southern Severe Weather (April 2020),3
Midwest/Southeast Tornadoes and Severe Weather (June 2011),3
California and Alaska Wildfires (Summer-Fall 2019),3
South Florida Flooding (October 2000),3
Midwest/Plains Tornadoes (April 1994),3
Central and Southern Severe Weather (March 2024),3
"South, East and Northeast Severe Weather (February 2020)",3
Southern and Eastern Tornadoes and Severe Weather (April 2018),3
Northeast Winter Storm (February 2010),3
Hurricane Bonnie (August 1998),3
Missouri River and North Central Flooding (March 2019),3
Southeast Tornado Outbreak (April 2022),3
"Rockies and Midwest Derecho (July 10-11, 2011)",2
Southern Tornado Outbreak (March 2022),2
Rockies/Central/East Severe Weather (June 2010),2
North Central Severe Weather (August 2021),2
Texas Tornadoes and Central Severe Weather (October 2019),2
North Central and Eastern Severe Weather (July 2023),2
Midwest/Ohio Valley Severe Weather (April 2015),2
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",2
Southern Severe Weather (April 2008),2
"South, Central and Eastern Severe Weather (May 2020)",2
Typhoon Mawar (May 2023),2
Michigan and Northeast Flooding (August 2014),2
Rockies/Central Plains Severe Weather (June 2014),2
California Flooding and Severe Weather (January 2021),2
Plains Tornadoes and Central Severe Weather (May 2016),2
Central and Eastern Severe Weather (May 2020),2
Tropical Storm Frances (September 1998),2
Midwest Tornado Outbreak (March 2017),2
Hurricane Lili (October 2002),2
Southern Severe Weather (March 2016),1
Central Severe Weather (October 2006),1
Midwest/Plains Severe Weather (April 2013),1
Southeast Severe Weather (March 2013),1
Severe Storms and Hail (June 1984),1
Midwest/Ohio Valley Severe Weather (April-May 2012),1
"Central, Southern and Eastern Severe Weather (April 2020)",1
North Central and Eastern Severe Weather (July 2022),1
Southeast Severe Weather and Tornadoes (April 2017),1
Minnesota Severe Storms/Hail (May 1998),1
Central and Eastern Tornadoes and Hail Storms (May 2023),1
Central Severe Weather (April 2023),1
Southern Plains/Midwest/Northeast Severe Weather (May 2012),1
Midwest Derecho and Tornado Outbreak (December 2021),1
Southern Severe Weather (April 2022),1
Tropical Storm Elsa (July 2021),1
North Central Severe Weather (May 2022),1
Central Severe Weather (May 2023),1
Southern Severe Weather (February 2013),1
Central and Northeast Severe Weather (June 2015),1
Central Derecho (June 2022),1
California Freeze (January 2007),1
North Central Severe Weather and Tornadoes (May 2017),1
Northeastern Winter Storm (October 2011),1
Northeastern Winter Storm / Cold Wave (February 2023),1
New England Flooding (October 1996),1
Northern Plains and Ohio Valley Severe Weather (July 1993),1
North Central and Southeastern Severe Weather (July 2023),1
Southern and Central Severe Weather (May 2022),1
North Central Severe Weather and Tornadoes (August 2006),1
"Midwest/Southeast Severe Weather (August 17-18, 2011)",0
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",0
Texas Hail Storm (June 2018),0
Northern Plains Drought (Summer-Fall 1989),0
Central Severe Weather (May 2019),0
Texas Hail Storms (February 2022),0
Western Drought (2014),0
U.S. Drought (Spring-Fall 2002),0
Texas and Oklahoma Severe Weather (April 2021),0
Central and Eastern Winter Storm (Mid-January 1999),0
Colorado Hail Storm (June 2018),0
Colorado Hail Storm and Central Severe Weather (May 2017),0
Central Severe Storms (June 2021),0
"Severe Storms, Hail (June 1992)",0
U.S. Drought (Spring-Summer 1991),0
Midwest/Northeast Severe Storms and Flooding (July 2010),0
North Central Hail Storms (May 2022),0
Rockies and Northeast Severe Weather (July 2016),0
Center Severe Weather (May 2014),0
Southern Hail Storms (September 2023),0
Texas Hail Storms (April 2021),0
North Texas Hail Storm (March 2016),0
South Texas Hail Storms (May 2020),0
"North Central Severe Weather (July 1, 2011)",0
Arizona Severe Weather (October 2010),0
Colorado Hail Storms (June 2004),0
Texas Hail Storm (March 2019),0
Colorado Hail Storm (July 2009),0
Central Severe Weather (April 2014),0
Minnesota Hail Storms (August 2023),0
South and Southeast Severe Weather (May 2019),0
Southeast Severe Weather (March 2005),0
Ohio Valley Derecho and Southern Tornadoes (April 2011),0
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),0
Southwest/Great Plains Drought (2009),0
Southeastern Tornadoes and Severe Weather (March 2018),0
Central Severe Weather (July 2020),0
Midwest/Southeast Tornadoes (March 2009),0
Southeast Drought (Summer 1983),0
North Central Severe Weather (May 2001),0
U.S. Drought (2008),0
South/Southeast Severe Weather (April 2015),0
"Hail, Tornadoes (April 1992)",0
"Severe Storms, Tornadoes (March 1991)",0
Plains Severe Weather (April 2014),0
Texas Tornadoes (April 2012),0
Spring Freeze (April 2007),0
West/Northeast/Southeast Drought (2016),0
Western Fire Season (Spring-Summer 2000),0
Southeast/Midwest Tornadoes (April 2011),0
Colorado Hail Storm (July 1990),0
Southern Severe Weather (April 2023),0
South and Southeast Severe Weather (April 2017),0
Rockies/Southwest Severe Weather (June 2012),0
Severe Storms (March 1992),0
Central Severe Storms (July 2021),0
Rockies and Plains Hail Storms (August 2018),0
Rockies/Midwest/Eastern Severe Weather (May 2014),0
Western Drought (2015),0
Mountain West Severe Weather (July 2018),0
Western Fire Season (Summer-Fall 1994),0
Rockies/Central Tornadoes and Severe Weather (May 2016),0
Florida Freeze (January 1981),0
California Freeze (December 1998),0
Central Severe Weather (June 2022),0
Midwest Severe Weather (June 2017),0
Rockies/Plains Severe Weather (September 2014),0
Southeast Freeze (March 2017),0
Texas Hail Storm (April 1995),0
Central and Southern Severe Weather (April 2023),0
Texas Hail Storms (May 2023),0
Southern Plains Drought (Spring-Summer 1996),0
Hurricane Nicholas (September 2021),0
North/Central Texas Hail Storm (April 2016),0
Southern Severe Weather (June 2023),0
Southwest/Southern Plains Drought (Summer-Fall 2018),0
Central and Eastern Tornadoes and Severe Weather (July 2018),0
Central and Northeast Severe Weather (May 2018),0
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),0
Midwest/Plains/Southeast Drought (Spring-Summer 2006),0
"Midwest, South and East Severe Weather (June 2009)",0
Colorado Hail Storms (July 2019),0
Midwest Drought (Spring-Summer 2005),0
Florida Freeze (January 1985),0
Midwest and Ohio Valley Severe Weather (March 2020),0
Ohio Valley Hail Storms (June 2021),0
Midwest Severe Weather (August 2013),0
Hurricane Hanna (July 2020),0
South/Southeast Severe Weather (March 2017),0
California Freeze (December 1990),0
Southern Severe Weather (March 2000),0
